(0.47043981158637155, 0.782749171618301)
(0.5066317971934517, 0.6558455180413021)
(0.46806065817918246, 0.5850411989377282)
(0.45191040362265933, 0.4657292018375143)
(0.46674298980630663, 0.44410709624160133)
(0.5544305481072984, 0.3522758167335132)
(0.6822300748505612, 0.26532313145769876)
(0.5475529278799129, 0.06738012841660647)
(0.610323096059208, 0.022818546372170526)
(0.6389580685916714, 0.0024901050941298353)
(0.6304469512149714, -0.034665365915230575)
(0.606560237257889, -0.13894334360720018)
(0.4425939264211997, -0.10138396192141888)
(0.2743831040316965, -0.06285229984054698)
(0.27365280994144237, -0.06268501307085167)
(0.14808545512568566, -0.03392159098290638)
(0.07740385955840838, -0.017730722184769336)
(0.0, 0.0)
